City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Hurghada,EG,89.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
401,Huilong,CN,82.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
403,Port Said,EG,82.38,clear sky,31.2565,32.2841,Aracan Hotel
404,Imphal,IN,75.11,mist,24.8167,93.95,State Guest House
407,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
410,Houston,US,89.74,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
415,Weligama,LK,79.86,overcast clouds,5.9667,80.4167,Weligama Bay Resort
419,Tezu,IN,87.58,broken clouds,27.9167,96.1667,Circuit House
422,Chegdomyn,RU,78.8,overcast clouds,51.1167,133.0167,Gostinitsa Bureya
423,Andros Town,BS,82.36,overcast clouds,24.7,-77.7667,Hanks place
424,Lethem,GY,75.15,overcast clouds,3.3803,-59.7968,Savannah Inn
425,Kuah,MY,85.98,scattered clouds,6.3265,99.8432,Azio Hotel
426,Springdale,US,87.93,scattered clouds,36.1867,-94.1288,Springdale Inn
430,Amuntai,ID,87.33,broken clouds,-2.4177,115.2494,Hotel Balqis
431,Aykhal,RU,84.15,scattered clouds,66.0,111.5,
435,Puerto Escondido,MX,81.09,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Yumen,CN,82.08,clear sky,40.2833,97.2,
438,Mackay,AU,77.68,overcast clouds,-21.15,149.2,International Lodge Motel
444,Mombetsu,JP,80.62,few clouds,44.3525,143.3525,Okhotsk Palace Hotel
445,Acarau,BR,77.77,few clouds,-2.8856,-40.12,castelo pizzaria
451,Kavieng,PG,84.51,light rain,-2.5744,150.7967,Nusa Island Retreat
453,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
457,Jacksonville,US,79.29,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
460,Kieta,PG,84.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
465,Corinto,GR,84.83,clear sky,37.9407,22.9573,Ephira Hotel
467,Sijunjung,ID,80.19,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
